org1,org2,total,2008,2009,2010,2011,2012,2013
SSCM,REST,0.0012005548,0.0001032898,0.0002065796,0.0001032898,0.0002065796,0.0002582244,0.0003098693
CABI,HUMS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SSCM,SCIF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CHSE,ENGF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MSAD,BIOC,0.0024744521,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0022522523,0.0000000000
HUMS,EFIM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
VESC,BISC,0.0031247289,0.0004454839,0.0008909678,0.0001113710,0.0007795968,0.0010023388,0.0001113710
PANM,MDYF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PHYS,PHYS,0.1144335571,0.0095867769,0.0132231405,0.0161983471,0.0198347107,0.0277685950,0.0264462810
MSAD,GEOG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PSYC,LANG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
EDUC,GSEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
QUEN,PHYS,0.0011755089,0.0001466276,0.0002932551,0.0000977517,0.0000977517,0.0000977517,0.0004398827
REST,INOV,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPOL,CHEM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SSCM,MVEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
REST,PSYC,0.0005552351,0.0000000000,0.0000000000,0.0006351223,0.0000000000,0.0000000000,0.0000000000
SSCM,LANG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PSYC,CHSE,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SOCS,EDUC,0.0003962369,0.0000000000,0.0000693674,0.0001387347,0.0000693674,0.0001387347,0.0000000000
CABI,EFIM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PANM,SPAI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CABI,BISC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPAI,LAWD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GELY,SCIF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
INOV,PHPH,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ORDS,MODL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
NSQI,GSEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MVSF,REST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
LANG,LANG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MEED,MATH,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SCIF,NSQI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MDYF,BIOC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
HUMS,MEED,0.0020121919,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018315018,0.0000000000
SART,MSAD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GSEN,HUMS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
LAWD,MVEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MDYF,BISC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PHPH,ORDS,0.0004147450,0.0001737016,0.0001737016,0.0001737016,0.0000000000,0.0000000000,0.0000000000
HUMS,REST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MVEN,MODL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CABI,CABI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
NSQI,ENGF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MODL,PANM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MATH,SSCM,0.0008916396,0.0002208643,0.0000000000,0.0002208643,0.0002208643,0.0002944858,0.0000000000
SOCS,PHPH,0.0029766670,0.0005824112,0.0004004077,0.0004004077,0.0006916133,0.0006916133,0.0003640070
QUEN,MSAD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
EFIM,ENGF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PHYS,MSAD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MATH,MSAD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MEED,SCIF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PHPH,ENGF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
NSQI,LANG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CHEM,GSEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SOCS,PSYC,0.0023189002,0.0000000000,0.0003911139,0.0000782228,0.0008604506,0.0004693367,0.0004693367
GSEN,SOCS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
EFIM,SART,0.0021542289,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0019607843,0.0000000000
ORDS,PHPH,0.0004147450,0.0001737016,0.0001737016,0.0001737016,0.0000000000,0.0000000000,0.0000000000
MODL,CABI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MVEN,BISC,0.0021618323,0.0000000000,0.0001876525,0.0006567836,0.0003753049,0.0006567836,0.0002814787
ORDS,BISC,0.0002640367,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002403268,0.0000000000
INOV,REST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GEOG,PHPH,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SCIF,LAWD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MSAD,NSQI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GEOG,PSYC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MVSF,VESC,0.0011329186,0.0000000000,0.0000000000,0.0000000000,0.0011614402,0.0000000000,0.0000000000
MSAD,SOCS,0.0017310683,0.0000000000,0.0000000000,0.0006127451,0.0012254902,0.0000000000,0.0000000000
BISC,SSCM,0.0004205855,0.0001422003,0.0000948002,0.0000000000,0.0001422003,0.0000948002,0.0000000000
BIOC,MDYF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
QUEN,SPAI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
EFIM,MODL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GEOG,SSCM,0.0001112791,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000474001,0.0000474001
MSAD,CHEM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPAI,SOCS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BIOC,SCIF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
NSQI,EFIM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MODL,BISC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ENGF,GSEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BISC,ENGF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
HUMS,GELY,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SART,BISC,0.0026558987,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0024174053,0.0000000000
PHPH,MSAD,0.0028852069,0.0000000000,0.0000000000,0.0033003300,0.0000000000,0.0000000000,0.0000000000
GELY,GELY,0.0983309769,0.0094497790,0.0085352843,0.0131077580,0.0216430422,0.0201188843,0.0240816949
PHPH,LAWD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
HUMS,SSCM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CHSE,PANM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SART,BIOC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ENGF,SPAI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MSAD,GSEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
LAWD,SOCS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
QUEN,NSQI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ENGF,LANG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BISC,MATH,0.0108715085,0.0032060624,0.0017487613,0.0000000000,0.0014573011,0.0029146022,0.0020402215
HUMS,BISC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SCIF,CHEM,0.0145588494,0.0000000000,0.0000000000,0.0000000000,0.0149253731,0.0000000000,0.0000000000
CABI,LANG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MODL,CHEM,0.0045187967,0.0000000000,0.0027137042,0.0027137042,0.0000000000,0.0000000000,0.0000000000
LAWD,PHYS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
QUEN,LANG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MDYF,HUMS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MSAD,SSCM,0.0047819881,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0017301038,0.0023068051
MVEN,GEOG,0.0011644023,0.0001876525,0.0000000000,0.0006567836,0.0000000000,0.0000938262,0.0002814787
MSAD,LANG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MATH,BISC,0.0108715085,0.0032060624,0.0017487613,0.0000000000,0.0014573011,0.0029146022,0.0020402215
QUEN,MODL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MVSF,CHSE,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BISC,PANM,0.0002594844,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002361833,0.0000000000
GSEN,MDYF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPOL,LANG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GSEN,ORDS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
INOV,VESC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SCIF,ORDS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GSEN,CHEM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MVEN,SCIF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MATH,HUMS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GSEN,EDUC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPOL,MODL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPOL,MVEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
EDUC,PHPH,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SCIF,GSEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MVSF,CHEM,0.0015405341,0.0021321962,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SART,ORDS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPAI,MEED,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GEOG,NSQI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SART,SART,0.0671927440,0.0069204152,0.0069204152,0.0000000000,0.0138408304,0.0000000000,0.0346020761
ORDS,GEOG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MATH,CHEM,0.0019545792,0.0000000000,0.0001587806,0.0000000000,0.0004763417,0.0001587806,0.0009526834
MODL,MVEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
VESC,SSCM,0.0002186396,0.0000000000,0.0000000000,0.0000000000,0.0000843953,0.0000281318,0.0000843953
PHPH,NSQI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPOL,MVSF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BISC,EFIM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
NSQI,SART,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ORDS,MEED,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPAI,MSAD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SSCM,NSQI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BISC,MVSF,0.0021500132,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0019569472,0.0000000000
QUEN,BIOC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CHSE,LAWD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
EDUC,MVEN,0.0001614111,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001292324
CABI,MODL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SCIF,HUMS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
NSQI,SSCM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
EDUC,SPOL,0.0008806348,0.0000000000,0.0000000000,0.0006186205,0.0000000000,0.0003093102,0.0000000000
PANM,CHSE,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MATH,ORDS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPAI,GEOG,0.0061425208,0.0000000000,0.0005707763,0.0017123288,0.0022831050,0.0011415525,0.0005707763
MSAD,EDUC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CABI,SSCM,0.0043217967,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0034602076
MSAD,EFIM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
LANG,EFIM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
EDUC,GEOG,0.0010314924,0.0000000000,0.0002584647,0.0000000000,0.0005169294,0.0000000000,0.0002584647
MATH,SART,0.0051490085,0.0000000000,0.0012515645,0.0000000000,0.0012515645,0.0012515645,0.0012515645
GEOG,EFIM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BIOC,LAWD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
REST,EFIM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
REST,EDUC,0.0010333605,0.0005632216,0.0000000000,0.0000000000,0.0002816108,0.0000000000,0.0002816108
EDUC,SPAI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
REST,LAWD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SCIF,MVEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CHSE,SPOL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GSEN,MVEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
HUMS,SART,0.0195102803,0.0021008403,0.0021008403,0.0063025210,0.0084033613,0.0000000000,0.0021008403
BISC,HUMS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CHSE,SOCS,0.0025752625,0.0015756303,0.0007878151,0.0002626050,0.0002626050,0.0000000000,0.0002626050
INOV,CHEM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
EFIM,GSEN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PHPH,GELY,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
VESC,LAWD,0.0003308211,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003011141,0.0000000000
SCIF,MVSF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GELY,ORDS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GELY,SOCS,0.0001009642,0.0000000000,0.0000000000,0.0000000000,0.0000453885,0.0000000000,0.0000453885
ENGF,CHEM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ORDS,ENGF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SCIF,EDUC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SCIF,EFIM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BISC,LAWD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
NSQI,CHEM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
REST,VESC,0.0001183646,0.0000000000,0.0000000000,0.0000000000,0.0001213445,0.0000000000,0.0000000000
MVEN,PSYC,0.0003094166,0.0000000000,0.0000000000,0.0001457301,0.0000000000,0.0000000000,0.0001457301
CHSE,GELY,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CHEM,MVEN,0.0002079163,0.0001022286,0.0000000000,0.0001533429,0.0000000000,0.0000000000,0.0000000000
SPOL,MATH,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
LANG,SART,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
VESC,MSAD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CHEM,SPOL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GEOG,ENGF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MVEN,MSAD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SCIF,MODL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
QUEN,BISC,0.0000919870,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000736485
SOCS,CABI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
VESC,VESC,0.0723037133,0.0140128231,0.0115010906,0.0118976800,0.0140128231,0.0167889484,0.0084605724
LAWD,CHEM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
LANG,INOV,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CHEM,GEOG,0.0038532331,0.0002044572,0.0006133715,0.0002044572,0.0005111429,0.0009200572,0.0012267430
BIOC,MVEN,0.0010933407,0.0000925583,0.0000000000,0.0000925583,0.0000925583,0.0004627916,0.0002776749
SPAI,PHYS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PHYS,PANM,0.0003679712,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001567398,0.0001567398
ENGF,QUEN,0.0147276113,0.0000000000,0.0005973716,0.0000000000,0.0041816010,0.0017921147,0.0065710872
PANM,MODL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
NSQI,SPOL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
CHEM,SPAI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PSYC,BIOC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ENGF,PHPH,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
EDUC,REST,0.0010333605,0.0005632216,0.0000000000,0.0000000000,0.0002816108,0.0000000000,0.0002816108
MEED,SOCS,0.0045265451,0.0011312217,0.0003770739,0.0009426848,0.0013197587,0.0007541478,0.0003770739
VESC,CHSE,0.0049026189,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011614402,0.0029036005
MSAD,MSAD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
QUEN,CABI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
